title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
Westworld,0,0,0.0,1,0,1,85,9,TV-MA,62,Drama,Mystery,Sci-Fi,N/A,Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,0,1,0,1,530276,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
What We Do in the Shadows,0,0,0.0,1,0,1,86,8,TV-MA,30,Comedy,Fantasy,Horror,N/A,Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,0,1,0,1,101035,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.
Your Honor,0,0,0.0,1,0,1,76,17,TV-MA,57,Crime,Drama,Thriller,N/A,Bryan Cranston,Hope Davis,Michael Stuhlbarg,Lilli Kay,0,1,0,1,64879,A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family.
Neon Genesis Evangelion: Death &amp; Rebirth,1997,1990,0.0,1,0,1,72,19,Not,101,Animation,Action,Drama,Hideaki Anno,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,0,1,0,1,15532,"A recap of the first 24 episodes of Neon Genesis Evangelion, followed by a 30-minute continuation of the plot that would later form the first third of The End of Evangelion."
The Corner,2000,2000,0.0,1,0,1,85,9,TV-MA,376,Crime,Drama,,N/A,T.K. Carter,Khandi Alexander,Sean Nelson,Clarke Peters,0,1,0,1,5469,Chronicles a West Baltimore family living in poverty on the front lines of America's drug war.
Empire Falls,2005,2000,0.0,1,0,1,72,19,TV-14,197,Drama,Romance,,N/A,Ed Harris,Philip Seymour Hoffman,Helen Hunt,Paul Newman,0,1,0,1,6298,"A decaying New England town is the backdrop for its unique citizens, led by unassuming restaurant manager Miles Roby."
Generation Kill,2008,2000,0.0,1,0,1,85,9,TV-MA,70,Drama,War,,N/A,Alexander Skarsgård,James Ransone,Lee Tergesen,Jon Huertas,0,1,0,1,58770,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003."
Zach Stone Is Gonna Be Famous,2013,2010,0.0,1,0,1,83,11,TV-14,21,Comedy,,,N/A,Bo Burnham,Tom Wilson,Kari Coleman,Cameron Palatas,0,1,0,1,4311,"After recently graduating high school, young Zach Stone opts out of a college to pursue the New American Dream: becoming famous with no talent whatsoever."
Show Me a Hero,2015,2010,0.0,1,0,1,80,14,TV-MA,358,Drama,History,,N/A,Oscar Isaac,Natalie Paul,Carla Quevedo,Peter Riegert,0,1,0,1,11983,"Nick Wasicsko takes office as mayor of Yonkers in 1987 and has to face the issue of building public housing in the white, middle-class side of town."
Escape at Dannemora,2018,2010,0.0,1,0,1,79,15,TV-MA,440,Biography,Crime,Drama,N/A,Benicio Del Toro,Patricia Arquette,Paul Dano,Bonnie Hunt,0,1,0,1,27809,A female prison employee in upstate New York becomes romantically involved with a pair of inmates and helps them escape.
Patrick Melrose,2018,2010,0.0,1,0,1,80,14,TV-MA,302,Drama,,,N/A,Benedict Cumberbatch,Jennifer Jason Leigh,Hugo Weaving,Sebastian Maltz,0,1,0,1,32266,This series depicts how the son of an aristocratic family seeks redemption and recovery.
Sharp Objects,2018,2010,0.0,1,0,1,80,14,TV-MA,421,Crime,Drama,Mystery,N/A,Amy Adams,Patricia Clarkson,Chris Messina,Eliza Scanlen,0,1,0,1,117512,"After treating her mental illness, crime reporter Camille Preaker returns to her hometown to solve the murder of two young girls. However, she is forced to face and deal with her own demons too."
Chernobyl,2019,2010,0.0,1,0,1,93,2,TV-MA,330,Drama,History,Thriller,N/A,Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,0,1,0,1,855130,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months."
Giri/Haji,2019,2010,0.0,1,0,1,78,16,TV-MA,461,Crime,Drama,Mystery,N/A,Takehiro Hira,Kelly Macdonald,Yôsuke Kubozuka,Will Sharpe,0,1,0,1,16584,"A detective from Tokyo scours London for his missing brother, who's been involved with the Yakuza and accused of murder."
Dopesick,2021,2020,0.0,1,0,1,86,8,TV-MA,492,Drama,,,N/A,Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg,Will Poulter,0,1,0,1,76165,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA."
Mare of Easttown,2021,2020,0.0,1,0,1,84,10,TV-MA,418,Crime,Drama,Mystery,N/A,Kate Winslet,Julianne Nicholson,Jean Smart,Angourie Rice,0,1,0,1,185293,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.
Black Bird,2022,2020,0.0,1,0,1,81,13,TV-MA,347,Biography,Crime,Drama,N/A,Taron Egerton,Paul Walter Hauser,Greg Kinnear,Ray Liotta,0,1,0,1,101819,Jimmy Keene is sentenced to 10 years in a minimum security prison but he cuts a deal with the FBI to befriend a suspected serial killer. Keene has to elicit a confession from Larry Hall to find the bodies of as many as eighteen women.
The English,2022,2020,0.0,1,0,1,78,16,TV-MA,51,Drama,Western,,N/A,Emily Blunt,Chaske Spencer,Stephen Rea,Tom Hughes,0,1,0,1,28676,Follows a woman as she seeks revenge on the man she sees as responsible for the death of her son.
The Staircase,2022,2020,0.0,1,0,1,71,20,TV-MA,519,Biography,Crime,Drama,N/A,Colin Firth,Toni Collette,Michael Stuhlbarg,Patrick Schwarzenegger,0,1,0,1,33467,"Tells the story of Michael Peterson, a crime novelist accused of killing his wife Kathleen after she is found dead at the bottom of a staircase in their home, and the 16-year judicial battle that followed."
Drops of God,2023,2020,0.0,1,0,1,80,14,TV-MA,0,Drama,,,N/A,Fleur Geffrier,Tomohisa Yamashita,Tom Wozniczka,Stanley Weber,0,1,0,1,10985,A woman discovers the world's greatest wine collection that's left by her estranged father and competes against his protege to claim her inheritance.
The Consultant,2023,2020,0.0,1,0,1,65,21,TV-MA,33,Comedy,Drama,Thriller,N/A,Christoph Waltz,Nat Wolff,Brittany O'Grady,Aimee Carrero,0,1,0,1,16027,"Follows a relationship between employee and boss, asking how far we will go to get ahead, and to survive."
